Sp.,SPECIES,Locomotor_category,Family,DVHSP,DVHSP.sd,CCLSP,CCLSP.sd,MLLTP,MLLTP.sd,DVOTP,DVOTP.sd,DVHVB,DVHVB.sd,MLWVB,MLWVB.sd,CCLVB,CCLVB.sd
GC,Galago crassicaudatus,Pronograde,Galagidae,1.05,0.08,0.7,0.09,0.99,0.07,114.96,4.69,0.86,0.07,1.19,0.1,1.38,0.1
MB,Monodelphis brevicaudata,Pronograde,Didelphidae,0.92,0.24,0.85,0.36,1.37,0.14,116.29,5.67,1.07,0.11,1.62,0.22,1.62,0.22
MD,Monodelphis domestica,Pronograde,Didelphidae,0.92,0.32,1.03,0.33,1.33,0.17,117.27,5.95,0.54,0.1,0.95,0.07,1.74,0.19
SC,Sciurus carolinensis,Pronograde,Sciuridae,1.22,0.25,0.59,0.21,1.32,0.45,120.58,4.48,0.69,0.09,1.16,0.13,1.5,0.18
TH,Tamiasciurus hudsonicus,Pronograde,Sciuridae,0.9,0.1,0.52,0.03,1.58,0.13,122.96,1.41,0.66,0.04,1.22,0.12,1.69,0.08
TG,Tupaia glis,Pronograde,Tupaiidae,0.79,0.08,0.62,0.11,1.56,0.21,127.17,9.02,1.13,0.14,1.13,0.14,1.95,0.22
TM,Tupaia minor,Pronograde,Tupaiidae,1.32,0.32,0.51,0.1,1.47,0.1,118.02,6.93,0.61,0.1,1.09,0.23,1.64,0.09
VV,Varecia variegata,Pronograde,Lemuridae,0.99,0.1,0.79,0.22,0.91,0.14,117.48,5.97,0.77,0.06,1.15,0.09,1.69,0.06
GV,Galeopterus variegatus,Mitten-gliding,Cynocephalidae,0.87,0.23,1.49,0.21,0.51,0.14,105.87,8.76,0.97,0.23,2.17,0.26,2.6,0.14
PH,Pteropus hypomelanus,Flight,Pteropidae,0.6,0.15,1.37,0.19,0.8,0.19,102.43,2.48,0.96,0.07,1,0.06,1.69,0.09
PtP,Pteropus poliocephalus,Flight,Pteropidae,0.72,0.04,1.33,0.06,0.72,0.15,99.75,4.74,0.99,0.12,1.14,0.14,1.35,0.42
PV,Pteropus vampyrus,Flight,Pteropidae,0.68,0.19,1.31,0.17,0.72,0.2,106.3,5.37,0.97,0.14,1.08,0.06,1.61,0.11
AJ,Artibeus jamaicensis,Flight,Phyllostomatidae,0.87,0.1,0.91,0.2,0.7,0.07,106.1,4,1.18,0.12,0.97,0.01,1.61,0.1
VS,Vampyrum spectrum,Flight,Phyllostomatidae,0.78,0.07,1.12,0.18,0.76,0.17,102.3,2.22,1,0.16,1.14,0.14,1.41,0.17
PB,Petaurus breviceps,Gliding,Petauridae,1.3,0.38,0.56,0.13,1.15,0.23,112.38,5.74,0.62,0.05,1.09,0.13,1.92,0.21
AB,Anomalurus sp.,Gliding,Anomaluridae,1.16,0.21,0.65,0.19,1.35,0.16,118.13,4.27,0.64,0.09,1.13,0.15,1.48,0.18
GV,Glaucomys volans,Gliding,Sciuridae,1.28,0.25,0.49,0.1,1.36,0.15,123.74,3.02,0.59,0.04,1.15,0.1,1.84,0.14
PeP,Petaurista petaurista,Gliding,Sciuridae,1.19,0.23,0.56,0.12,1.17,0.19,122.44,5.3,0.65,0.05,1.12,0.12,1.88,0.16
EC,Eupetaurus cinereus,Gliding,Sciuridae,0.88,,0.8,,0.95,,114.6,,0.7,,1.24,,1.71,
CP,Cebuella pygmaea,Vertical clinging,Callitrichidae,1.19,0.21,0.76,0.11,1.12,0.24,114.37,4.86,0.66,0.08,1.11,0.08,1.58,0.15
TS,Tarsius syrichta,Vertical clinging,Tarsiidae,1.07,0.25,0.8,0.14,0.93,0.18,112.28,2.13,0.66,0.07,1.31,0.09,1.56,0.19
AL,Avahi laniger,Vertical clinging,Indriidae,1.1,0.22,0.68,0.12,0.94,0.25,104.27,2.14,0.78,0.08,1.38,0.22,1.42,0.16
PC,Propithecus coquereli,Vertical clinging,Indriidae,1.01,0.01,0.83,0.11,0.94,0.04,108.1,0.14,0.87,0.1,1.18,0.01,1.25,0.06
BT,Bradypus tridactylus,Inverted quadrupedalism,Bradypodidae,0.22,0.05,1.65,0.21,0.94,0.16,91.68,2.08,1.15,0.15,1.59,0.24,1.7,0.13
ChD,Choloepus didactylus,Inverted quadrupedalism,Megalonychidae,0.16,0.03,1.86,0.24,0.93,0.09,90.7,2.22,1.28,0.24,1.69,0.19,1.81,0.11
ChH,Choloepus hoffmanni,Inverted quadrupedalism,Megalonychidae,0.22,0.04,1.86,0.15,0.88,0.12,90.66,1.98,1.05,0.1,1.63,0.13,1.67,0.17
,Palaeopropithecus sp.,,,0.22,0.03,1.47,0.12,1.05,0.1,87.08,2.62,1.32,0.13,1.65,0.05,1.41,0.09
,Babakotia radofilai,,,0.47,0.05,1.35,0.09,0.68,0.18,95.2,4.01,1.11,0.06,1.36,0.16,1.59,0.14
