OPE ID,School,State,Zip Code,School Type,SubsidizedDL_value,Subsidized_DL_Recipients,UNSubsidizedDL_value,UNSubsidized_DL_Recipients
113200, CALIFORNIA INSTITUTE OF THE ARTS , CA ,913552397,Private-Nonprofit,1268496.00,11,1020903.00,10
113300, CALIFORNIA LUTHERAN UNIVERSITY , CA ,913602787,Private-Nonprofit,3329702.00,99,2991858.00,68
113400, CALIFORNIA MARITIME ACADEMY , CA ,945908181,Public,1155015.00,21,1261870.00, -   
113700," CALIFORNIA STATE UNIVERSITY, FULLERTON ", CA ,928313599,Public,20053669.00,330,15988516.00,104
113800," CALIFORNIA STATE UNIVERSITY, EAST BAY ", CA ,945423000,Public,5432769.00,351,4774532.00,82
113900," CALIFORNIA STATE UNIVERSITY, LONG BEACH ", CA ,908400006,Public,24206925.00,490,17011691.00,133
114000," CALIFORNIA STATE UNIVERSITY, LOS ANGELES ", CA ,900324226,Public,9261193.00,105,5306461.00,70
114100," CALIFORNIA STATE UNIVERSITY, DOMINGUEZ HILLS ", CA ,907470001,Public,8856037.00,226,7892499.00,174
114200," CALIFORNIA STATE UNIVERSITY, SAN BERNARDINO ", CA ,924072397,Public,9244814.00,83,6645051.00,49
114300, CALIFORNIA POLYTECHNIC STATE UNIVERSITY , CA ,934070001,Public,7014222.00,43,6593514.00,14
114400," CALIFORNIA STATE POLYTECHNIC UNIVERSITY, POMONA ", CA ,917682500,Public,19739936.00,73,15672835.00,23
114600," CALIFORNIA STATE UNIVERSITY, CHICO ", CA ,959290001,Public,14399969.00,327,8502063.00,48
114700," CALIFORNIA STATE UNIVERSITY, FRESNO ", CA ,937408026,Public,13471230.00,295,9245834.00,140
114900, HUMBOLDT STATE UNIVERSITY , CA ,955218299,Public,9111976.00,242,5820461.00,30
115000, CALIFORNIA STATE UNIVERSITY - SACRAMENTO , CA ,958196044,Public,22356178.00,686,16268638.00,144
115100, SAN DIEGO STATE UNIVERSITY , CA ,921821690,Public,17303689.00,642,15095910.00,266
115300," CALIFORNIA STATE UNIVERSITY, NORTHRIDGE ", CA ,913308307,Public,22333148.00,305,14881961.00,260
115400, SAN FRANCISCO STATE UNIVERSITY , CA ,941321740,Public,19549012.00,608,14288065.00,147
115500, SAN JOSE STATE UNIVERSITY , CA ,951920036,Public,16589797.00,419,11843177.00,317
115600, SONOMA STATE UNIVERSITY , CA ,949283609,Public,6204768.00,151,5739949.00,35
115700," CALIFORNIA STATE UNIVERSITY, STANISLAUS ", CA ,953820299,Public,6011691.00,175,4721255.00,46
116100, CERRITOS COMMUNITY COLLEGE , CA ,906506296,Public,1432322.00,34,443200.00, -   
116200, CHABOT COLLEGE , CA ,945452400,Public,409654.00,37,352494.00, -   
116400, CHAPMAN UNIVERSITY , CA ,928661099,Private-Nonprofit,5902658.00,164,4257926.00,106
116500, CHURCH DIVINITY SCHOOL OF THE PACIFIC , CA ,947091217,Private-Nonprofit, $-   , -   , $-   ,1
116600, CITRUS COMMUNITY COLLEGE , CA ,917411899,Public,386954.00,41,298523.00, -   
116900, CLAREMONT GRADUATE UNIVERSITY , CA ,917116163,Private-Nonprofit, $-   , -   , $-   ,85
117000, CLAREMONT MCKENNA COLLEGE , CA ,917116400,Private-Nonprofit,149541.00,13,205506.00,1
117100, HARVEY MUDD COLLEGE , CA ,917115990,Private-Nonprofit,546972.00,1,430929.00, -   
117200, PITZER COLLEGE , CA ,917116101,Private-Nonprofit,567361.00,12,218924.00, -   
117300, POMONA COLLEGE , CA ,917116301,Private-Nonprofit,15969.00,14,70291.00, -   
117400, SCRIPPS COLLEGE , CA ,917113948,Private-Nonprofit,440767.00,8,167064.00, -   
117600, WEST HILLS COMMUNITY COLLEGE , CA ,932101399,Public,257337.00,19,179137.00, -   
117700, COGSWELL POLYTECHNICAL COLLEGE , CA ,940891210,Proprietary,541162.00,118,657379.00, -   
117800, COLLEGE OF MARIN , CA ,949042590,Public,1047157.00,97,1272717.00,1
117900, NOTRE DAME DE NAMUR UNIVERSITY , CA ,940021997,Private-Nonprofit,1999843.00,120,1994449.00,65
118100, COLLEGE OF SAN MATEO , CA ,944023784,Public,139185.00,5,24943.00,1
118300, HOLY NAMES UNIVERSITY , CA ,946191699,Private-Nonprofit,1412441.00,187,1477263.00,103
118500, COLLEGE OF THE REDWOODS , CA ,955019300,Public,353484.00,18,124357.00, -   
118600, COLLEGE OF THE SEQUOIAS , CA ,932772234,Public,325768.00,16,87828.00, -   
118700, COLLEGE OF THE SISKIYOUS , CA ,960942899,Public,754406.00,95,743522.00,1
119000, CONTRA COSTA COLLEGE , CA ,948063195,Public,156255.00,11,126400.00, -   
119100, DIABLO VALLEY COLLEGE , CA ,945231544,Public,378145.00,36,151835.00, -   
119200, CUESTA COLLEGE , CA ,934038106,Public,758153.00,91,867092.00,1
119300, CYPRESS COLLEGE , CA ,906305897,Public,560569.00,32,397293.00, -   
119600, DOMINICAN UNIVERSITY OF CALIFORNIA , CA ,949012298,Private-Nonprofit,2338873.00,79,1956554.00,49
119900, FOOTHILL COLLEGE , CA ,940224597,Public,627959.00,83,719160.00, -   
120000, FULLER THEOLOGICAL SEMINARY , CA ,911820002,Private-Nonprofit, $-   , -   , $-   ,90
120100, FULLERTON COLLEGE , CA ,928322095,Public,903009.00,126,831279.00, -   
120200, GAVILAN COLLEGE , CA ,950209599,Public,155446.00,5,46376.00, -   
120300, GLENDALE COMMUNITY COLLEGE , CA ,912082894,Public,804441.00,21,396784.00, -   
120500, GOLDEN GATE UNIVERSITY , CA ,941052967,Private-Nonprofit,625666.00,148,848851.00,243
120600, GOLDEN WEST COLLEGE , CA ,926472748,Public,345241.00,45,174949.00,1
120700, GRADUATE THEOLOGICAL UNION , CA ,947091212,Private-Nonprofit, $-   , -   , $-   ,5
120800, GROSSMONT COLLEGE , CA ,920201799,Public,474159.00,10,73169.00, -   
121200, HUMPHREYS COLLEGE , CA ,952073896,Private-Nonprofit,652431.00,176,853156.00,57
121500, LA SIERRA UNIVERSITY , CA ,925153332,Private-Nonprofit,1944775.00,167,1854563.00,21
121600, UNIVERSITY OF LA VERNE , CA ,917504443,Private-Nonprofit,9089328.00,519,9829620.00,317
121700, LASSEN COLLEGE , CA ,961303000,Public,144085.00,11,146791.00, -   
121800, LOMA LINDA UNIVERSITY , CA ,923500001,Private-Nonprofit,1734616.00,103,1804124.00,146
121900, LONG BEACH CITY COLLEGE , CA ,908081780,Public,1636896.00,115,559257.00, -   
122000, MASTER'S COLLEGE AND SEMINARY , CA ,913211200,Private-Nonprofit,1407994.00,44,984031.00,5
122300, LOS ANGELES CITY COLLEGE , CA ,900293588,Public,1353563.00,91,1483461.00, -   
122400, LOS ANGELES HARBOR COLLEGE , CA ,907442397,Public,127900.00,4,55550.00, -   
122600, LOS ANGELES PIERCE COLLEGE , CA ,913710001,Public,1647203.00,137,1817174.00, -   
122700, LOS ANGELES TRADE-TECHNICAL COLLEGE , CA ,900154181,Public,1259982.00, -   ,143250.00, -   
122800, LOS ANGELES VALLEY COLLEGE , CA ,914014096,Public,1026675.00,145,1025775.00, -   
122900, SOUTHERN CALIFORNIA UNIVERSITY OF HEALTH SCIENCES , CA ,906044051,Private-Nonprofit, $-   , -   , $-   ,14
123000, MARSHALL B. KETCHUM UNIVERSITY , CA ,928311699,Private-Nonprofit, $-   , -   , $-   ,8
123200, AMERICAN RIVER COLLEGE , CA ,958414286,Public,2527210.00,168,2202342.00, -   
123300, SACRAMENTO CITY COLLEGE , CA ,958221386,Public,1836717.00,83,1549174.00, -   
123600, MENLO COLLEGE , CA ,940274301,Private-Nonprofit,809819.00,22,731579.00, -   
123800, MILLS COLLEGE , CA ,946131301,Private-Nonprofit,1622245.00,68,1392286.00,30
123900, MIRACOSTA COLLEGE , CA ,920563899,Public,479825.00,41,228251.00, -   
124200, MONTEREY PENINSULA COLLEGE , CA ,939404799,Public,189360.00,33,156939.00, -   
124300, MOUNT SAINT MARY'S COLLEGE , CA ,900491599,Private-Nonprofit,4026669.00,164,3989728.00,45
124500, MOUNT SAN ANTONIO COLLEGE , CA ,917891399,Public,203060.00,9,56409.00, -   
124700, NAPA VALLEY COLLEGE , CA ,945586236,Public,134033.00,16,141533.00, -   
124900, OCCIDENTAL COLLEGE , CA ,900413314,Private-Nonprofit,1783759.00,26,1085235.00, -   
125000, ORANGE COAST COLLEGE , CA ,926285005,Public,520085.00,66,240649.00, -   
125100, OTIS COLLEGE OF ART AND DESIGN , CA ,900453505,Private-Nonprofit,1495328.00,33,1160305.00,2
125200, HOPE INTERNATIONAL UNIVERSITY , CA ,928313104,Private-Nonprofit,922993.00,43,870248.00,27
125300, FRESNO PACIFIC UNIVERSITY , CA ,937024798,Private-Nonprofit,3921121.00,291,3510932.00,67
125400, PACIFIC LUTHERAN THEOLOGICAL SEMINARY , CA ,947081597,Private-Nonprofit, $-   , -   , $-   ,4
125500, PACIFIC OAKS COLLEGE , CA ,911033606,Private-Nonprofit,716073.00,119,814516.00,250
125600, PACIFIC SCHOOL OF RELIGION , CA ,947091323,Private-Nonprofit, $-   , -   , $-   ,3
125800, PACIFIC UNION COLLEGE , CA ,945089797,Private-Nonprofit,1737166.00,219,1941208.00, -   
126000, PALOMAR COLLEGE , CA ,920691486,Public,485536.00,8,94601.00, -   
126100, PASADENA CITY COLLEGE , CA ,911062003,Public,409185.00,49,352331.00, -   
126200, POINT LOMA NAZARENE UNIVERSITY , CA ,921062899,Private-Nonprofit,3103844.00,72,2326736.00,275
126600, LANEY COLLEGE , CA ,946074893,Public,545757.00,78,614550.00, -   
126700, MERRITT COLLEGE , CA ,946193196,Public,416928.00,16,382295.00, -   
126900, RIO HONDO COMMUNITY COLLEGE , CA ,906011699,Public,86731.00,8,84287.00, -   
127000, RIVERSIDE CITY COLLEGE , CA ,925061299,Public,470186.00,27,259624.00, -   
127300, SAN DIEGO CITY COLLEGE , CA ,921014787,Public,1395603.00,3,92762.00, -   
127500, SAN DIEGO MESA COLLEGE , CA ,921114996,Public,1084584.00,10,119291.00, -   
127800, SAN FRANCISCO CONSERVATORY OF MUSIC , CA ,941026011,Private-Nonprofit,185250.00,5,155605.00,7
127900, SAN FRANCISCO THEOLOGICAL SEMINARY , CA ,949602905,Private-Nonprofit, $-   , -   , $-   ,2
128000, SAN JOAQUIN DELTA COLLEGE , CA ,952076370,Public,833023.00,41,180703.00, -   
128100, WILLIAM JESSUP UNIVERSITY , CA ,957653707,Private-Nonprofit,1420579.00,121,1240777.00,40
128200, SAN JOSE CITY COLLEGE , CA ,951282797,Public,297856.00,20,172734.00, -   
128400, SANTA ANA COLLEGE , CA ,927063398,Public,158683.00,17,169545.00, -   
128500, SANTA BARBARA CITY COLLEGE , CA ,931092394,Public,2592596.00,337,2676131.00, -   
128600, SANTA MONICA COLLEGE , CA ,904051644,Public,592275.00,43,196348.00,1
128700, SANTA ROSA JUNIOR COLLEGE - SANTA ROSA , CA ,954014395,Public,787547.00,53,451540.00, -   
128800, CLAREMONT SCHOOL OF THEOLOGY , CA ,917113199,Private-Nonprofit, $-   ,1,10250.00,102
128900, SHASTA COLLEGE , CA ,960497692,Public,858728.00,104,551165.00, -   
129000, SIERRA COLLEGE , CA ,956773397,Public,2115556.00,255,2113083.00, -   
129100, SIMPSON UNIVERSITY , CA ,960038606,Private-Nonprofit,1642848.00,125,1289046.00,20
129200, SOLANO COMMUNITY COLLEGE , CA ,945343197,Public,484777.00,58,509491.00, -   
129300, VANGUARD UNIVERSITY OF SOUTHERN CALIFORNIA , CA ,926266597,Private-Nonprofit,2844489.00,149,2543905.00,13
129400, SOUTHWESTERN COMMUNITY COLLEGE DISTRICT , CA ,919107299,Public,542708.00,7,86423.00, -   
129500, SOUTHWESTERN LAW SCHOOL , CA ,900101106,Private-Nonprofit, $-   , -   , $-   ,22
129600, DOMINICAN SCHOOL OF PHILOSOPHY AND THEOLOGY , CA ,947081295,Private-Nonprofit, $-   , -   , $-   ,4
130200, SAINT MARY'S COLLEGE OF CALIFORNIA , CA ,945562744,Private-Nonprofit,4129027.00,91,2841580.00,92
130500, STANFORD UNIVERSITY , CA ,943051926,Private-Nonprofit,511963.00,37,2000102.00,45
130700, FRESNO CITY COLLEGE , CA ,937410002,Public,567001.00,13,52558.00, -   
130800, REEDLEY COLLEGE , CA ,936542099,Public,265895.00,5,21235.00, -   
131200," UNIVERSITY OF CALIFORNIA, BERKELEY ", CA ,947201520,Public,13903089.00,586,7465425.00,276
131300," UNIVERSITY OF CALIFORNIA, DAVIS ", CA ,956168558,Public,14261580.00,177,4343684.00,150
131400," UNIVERSITY OF CALIFORNIA, IRVINE ", CA ,926970001,Public,13262659.00,359,6237362.00,166
131500," UNIVERSITY OF CALIFORNIA, LOS ANGELES ", CA ,900959000,Public,15250815.00,412,10765463.00,242
131600," UNIVERSITY OF CALIFORNIA, RIVERSIDE ", CA ,925210209,Public,10929607.00,196,6426026.00,44
131700," UNIVERSITY OF CALIFORNIA, SAN DIEGO ", CA ,920930013,Public,14167018.00,273,4395290.00,157
131900," UNIVERSITY OF CALIFORNIA, SAN FRANCISCO ", CA ,941430246,Public, $-   , -   , $-   ,37
132000," UNIVERSITY OF CALIFORNIA, SANTA BARBARA ", CA ,931062030,Public,11407811.00,469,5681563.00,109
132100," UNIVERSITY OF CALIFORNIA, SANTA CRUZ ", CA ,950640001,Public,11460304.00,80,5837535.00,9
132200, UNIVERSITY OF REDLANDS , CA ,923730999,Private-Nonprofit,3815564.00,189,4001524.00,163
132500, UNIVERSITY OF SAN FRANCISCO , CA ,941171080,Private-Nonprofit,6596015.00,195,4445003.00,233
132600, SANTA CLARA UNIVERSITY , CA ,950534956,Private-Nonprofit,2234852.00,11,1986970.00,55
132800, UNIVERSITY OF SOUTHERN CALIFORNIA , CA ,900890001,Private-Nonprofit,14164947.00,660,8811627.00,"2,297"
132900, UNIVERSITY OF THE PACIFIC , CA ,952110197,Private-Nonprofit,4684007.00,134,2984867.00,354
133400, VENTURA COLLEGE , CA ,930033899,Public,800755.00,63,644191.00, -   
133800, WEST VALLEY COLLEGE , CA ,950705697,Public,83000.00,5,32400.00, -   
133900, CORBAN UNIVERSITY , OR ,973019392,Private-Nonprofit,1245698.00,83,984809.00,62
134100, WESTMONT COLLEGE , CA ,931081099,Private-Nonprofit,1365421.00,30,924864.00, -   
134200, WHITTIER COLLEGE , CA ,906014413,Private-Nonprofit,2241692.00,64,1707920.00,17
134300, WOODBURY UNIVERSITY , CA ,915041052,Private-Nonprofit,1844073.00,65,1765639.00,23
134500, ADAMS STATE UNIVERSITY , CO ,811022373,Public,2281701.00,182,2371549.00,92
134600, ARAPAHOE COMMUNITY COLLEGE , CO ,801609002,Public,4400804.00,469,3144989.00, -   
134700, COLORADO COLLEGE , CO ,809033294,Private-Nonprofit,503567.00,18,731651.00,6
134800, COLORADO SCHOOL OF MINES , CO ,804011887,Public,3374328.00,111,3411206.00,42
134900, UNIVERSITY OF NORTHERN COLORADO , CO ,806390001,Public,8051503.00,325,9118108.00,101
135000, COLORADO STATE UNIVERSITY , CO ,805230100,Public,16326283.00,969,17223039.00,346
135200, DENVER SEMINARY , CO ,801202192,Private-Nonprofit, $-   ,2,7054.00,124
135300, FORT LEWIS COLLEGE , CO ,813013999,Public,3042322.00,215,2965861.00,2
135400, ILIFF SCHOOL OF THEOLOGY , CO ,802104798,Private-Nonprofit, $-   , -   , $-   ,25
135500, LAMAR COMMUNITY COLLEGE , CO ,810523999,Public,286481.00,30,288209.00, -   
135800, COLORADO MESA UNIVERSITY , CO ,815013122,Public,8267025.00,641,10066285.00,4
135900, COLORADO NORTHWESTERN COMMUNITY COLLEGE , CO ,816483598,Public,412331.00,25,502906.00, -   
136000, METROPOLITAN STATE UNIVERSITY OF DENVER , CO ,802043362,Public,18753316.00,"1,848",23555998.00,55
136100, NORTHEASTERN JUNIOR COLLEGE , CO ,807512399,Public,945390.00,115,755632.00, -   
136200, OTERO JUNIOR COLLEGE , CO ,810503346,Public,401650.00,45,215542.00, -   
136300, REGIS UNIVERSITY , CO ,802211099,Private-Nonprofit,4477916.00,519,5756174.00,381
136500, COLORADO STATE UNIVERSITY-PUEBLO , CO ,810014901,Public,4667733.00,363,3818264.00,24
136800, TRINIDAD STATE JUNIOR COLLEGE , CO ,810822396,Public,563191.00,73,455064.00, -   
137000, UNIVERSITY OF COLORADO BOULDER , CO ,803090077,Public,13235170.00,512,12599151.00,151
137100, UNIVERSITY OF DENVER , CO ,802082000,Private-Nonprofit,2470465.00,127,2511037.00,342
137200, WESTERN STATE COLORADO UNIVERSITY , CO ,812310000,Public,1582305.00,62,1744134.00,5
137400, ALBERTUS MAGNUS COLLEGE , CT ,65111189,Private-Nonprofit,1614308.00,147,1828283.00,67
137800, CENTRAL CONNECTICUT STATE UNIVERSITY , CT ,60502490,Public,9669481.00,440,9487101.00,103
137900, CONNECTICUT COLLEGE , CT ,63204196,Private-Nonprofit,1426388.00,13,839399.00,1
138000, WESTERN CONNECTICUT STATE UNIVERSITY , CT ,68106826,Public,5237476.00,265,5183335.00,18
138500, FAIRFIELD UNIVERSITY , CT ,68245171,Private-Nonprofit,3705559.00,44,2772790.00,37
138700, HARTFORD SEMINARY , CT ,61052279,Private-Nonprofit, $-   , -   , $-   ,5
138900, HOLY APOSTLES COLLEGE & SEMINARY , CT ,64162027,Private-Nonprofit,24881.00,2,25140.00,6
139200, MANCHESTER COMMUNITY COLLEGE , CT ,60451046,Public,47142.00,61,180973.00, -   
139300, MITCHELL COLLEGE , CT ,63204498,Private-Nonprofit,1007501.00,35,863023.00, -   
139700, UNIVERSITY OF NEW HAVEN , CT ,65161999,Private-Nonprofit,6167636.00,125,5360597.00,87
139800, NORTHWESTERN CONNECTICUT COMMUNITY COLLEGE , CT ,60981747,Public,36601.00,14,36646.00, -   
139900, NORWALK COMMUNITY COLLEGE , CT ,68541655,Public,38631.00,6,51625.00, -   
140100, POST UNIVERSITY , CT ,67233240,Proprietary,7969494.00,"2,143",10365816.00,299
140200, QUINNIPIAC UNIVERSITY , CT ,65181908,Private-Nonprofit,7152776.00,123,5952264.00,190
140300, SACRED HEART UNIVERSITY , CT ,68251000,Private-Nonprofit,4846729.00,168,4642164.00,239
140600, SOUTHERN CONNECTICUT STATE UNIVERSITY , CT ,65151355,Public,9443667.00,361,8648314.00,163
140900, UNIVERSITY OF SAINT JOSEPH , CT ,61172791,Private-Nonprofit,1642411.00,52,1618365.00,119
141400, TRINITY COLLEGE , CT ,61063100,Private-Nonprofit,1078497.00,25,734849.00,5
141600, UNIVERSITY OF BRIDGEPORT , CT ,66015650,Private-Nonprofit,3153191.00,162,3189113.00,136
